time: 2000000000
13 33 2000001
13 34 2000001
13 35 2000001
13 36 2000001
13 37 2000001
13 38 2000001
13 39 2000001
13 40 2000001
14 1 2000001
14 2 2000001
14 3 2000001
14 4 2000001
14 5 2000001
14 6 2000001
14 7 2000001
14 8 2000001
14 9 2000001
14 10 2000001
14 11 2000001
14 12 2000001
14 13 2000001
14 14 2000001
14 15 2000001
14 16 2000001
14 17 2000001
14 18 2000001
14 19 2000001
14 20 2000001
14 21 2000001
14 22 2000001
14 23 2000001
14 24 2000001
14 25 2000001
14 26 2000001
14 27 2000001
14 28 2000001
14 29 2000001
14 30 2000001
14 31 2000001
14 32 2000001
14 33 2000001
14 34 2000001
14 35 2000001
14 36 2000001
14 37 2000001
14 38 2000001
14 39 2000001
14 40 2000001
15 1 2000001
15 2 2000001
15 3 2000001
15 4 2000001
15 5 2000001
15 6 2000001
15 7 2000001
15 8 2000001
15 9 2000001
15 10 2000001
15 11 2000001
15 12 2000001
15 13 2000001
15 14 2000001
15 15 2000001
15 16 2000001
15 17 2000001
15 18 2000001
15 19 2000001
15 20 2000001
15 21 2000001
15 22 2000001
15 23 2000001
15 24 2000001
15 25 2000001
15 26 2000001
15 27 2000001
15 28 2000001
15 29 2000001
15 30 2000001
15 31 2000001
15 32 2000001
15 33 2000001
15 34 2000001
15 35 2000001
15 36 2000001
15 37 2000001
15 38 2000001
15 39 2000001
15 40 2000001
16 1 2000001
16 2 2000001
16 3 2000001
16 4 2000001
16 5 2000001
16 6 2000001
16 7 2000001
16 8 2000001
16 9 2000001
16 10 2000001
16 11 2000001
16 12 2000001
16 13 2000001
16 14 2000001
16 15 2000001
16 16 2000001
16 17 2000001
16 18 2000001
16 19 2000001
16 20 2000001
16 21 2000001
16 22 2000001
16 23 2000001
16 24 2000001
16 25 2000001
16 26 2000001
16 27 2000001
16 28 2000001
16 29 2000001
16 30 2000001
16 31 2000001
16 32 2000001
16 33 2000001
16 34 2000001
16 35 2000001
16 36 2000001
16 37 2000001
16 38 2000001
16 39 2000001
16 40 2000001
17 1 2000001
17 2 2000001
17 3 2000001
17 4 2000001
17 5 2000001
17 6 2000001
17 7 2000001
17 8 2000001
17 9 2000001
17 10 2000001
17 11 2000001
17 12 2000001
17 13 2000001
17 14 2000001
17 15 2000001
17 16 2000001
17 17 2000001
17 18 2000001
17 19 2000001
17 20 2000001
17 21 2000001
17 22 2000001
17 23 2000001
17 24 2000001
17 25 2000001
17 26 2000001
17 27 2000001
17 28 2000001
17 29 2000001
17 30 2000001
17 31 2000001
17 32 2000001
17 33 2000001
17 34 2000001
17 35 2000001
17 36 2000001
17 37 2000001
17 38 2000001
17 39 2000001
17 40 2000001
18 1 2000001
18 2 2000001
18 3 2000001
18 4 2000001
18 5 2000001
18 6 2000001
18 7 2000001
18 8 2000001
18 9 2000001
18 10 2000001
18 11 2000001
18 12 2000001
18 13 2000001
18 14 2000001
18 15 2000001
18 16 2000001
18 17 2000001
18 18 2000001
18 19 2000001
18 20 2000001
18 21 2000001
18 22 2000001
18 23 2000001
18 24 2000001
18 25 2000001
18 26 2000001
18 27 2000001
18 28 2000001
18 29 2000001
18 30 2000001
18 31 2000001
18 32 2000001
18 33 2000001
18 34 2000001
18 35 2000001
18 36 2000001
18 37 2000001
18 38 2000001
18 39 2000001
18 40 2000001
19 1 2000001
19 2 2000001
19 3 2000001
19 4 2000001
19 5 2000001
19 6 2000001
19 7 2000001
19 8 2000001
19 9 2000001
19 10 2000001
19 11 2000001
19 12 2000001
19 13 2000001
19 14 2000001
19 15 2000001
19 16 2000001
19 17 2000001
19 18 2000001
19 19 2000001
19 20 2000001
19 21 2000001
19 22 2000001
19 23 2000001
19 24 2000001
19 25 2000001
19 26 2000001
19 27 2000001
19 28 2000001
19 29 2000001
19 30 2000001
19 31 2000001
19 32 2000001
19 33 2000001
19 34 2000001
19 35 2000001
19 36 2000001
19 37 2000001
19 38 2000001
19 39 2000001
19 40 2000001
time: 2300000000
0 1 3000001
0 2 3000001
0 3 3000001
0 4 3000001
0 5 3000001
0 6 3000001
0 7 3000001
0 8 3000001
0 9 3000001
0 10 3000001
0 11 3000001
0 12 3000001
1 1 3000001
1 2 3000001
1 3 3000001
1 4 3000001
1 5 3000001
1 6 3000001
1 7 3000001
1 8 3000001
1 9 3000001
1 10 3000001
1 11 3000001
1 12 3000001
2 1 3000001
2 2 3000001
2 3 3000001
2 4 3000001
2 5 3000001
2 6 3000001
2 7 3000001
2 8 3000001
2 9 3000001
2 10 3000001
2 11 3000001
2 12 3000001
3 1 3000001
3 2 3000001
3 3 3000001
3 4 3000001
3 5 3000001
3 6 3000001
3 7 3000001
3 8 3000001
3 9 3000001
3 10 3000001
3 11 3000001
3 12 3000001
4 1 3000001
4 2 3000001
4 3 3000001
4 4 3000001
4 5 3000001
4 6 3000001
4 7 3000001
4 8 3000001
4 9 3000001
4 10 3000001
4 11 3000001
4 12 3000001
5 1 3000001
5 2 3000001
5 3 3000001
5 4 3000001
5 5 3000001
5 6 3000001
5 7 3000001
5 8 3000001
5 9 3000001
5 10 3000001
5 11 3000001
5 12 3000001
6 1 3000001
6 2 3000001
6 3 3000001
6 4 3000001
6 5 3000001
6 6 3000001
6 7 3000001
6 8 3000001
6 9 3000001
6 10 3000001
6 11 3000001
6 12 3000001
7 1 3000001
7 2 3000001
7 3 3000001
7 4 3000001
7 5 3000001
7 6 3000001
7 7 3000001
7 8 3000001
7 9 3000001
7 10 3000001
7 11 3000001
7 12 3000001
8 1 3000001
8 2 3000001
8 3 3000001
8 4 3000001
8 5 3000001
8 6 3000001
8 7 3000001
8 8 3000001
8 9 3000001
8 10 3000001
8 11 3000001
8 12 3000001
8 13 3000001
8 14 3000001
8 15 3000001
8 16 3000001
8 17 3000001
8 18 3000001
8 19 3000001
8 20 3000001
8 21 3000001
8 22 3000001
8 23 3000001
8 24 3000001
8 25 3000001
8 26 3000001
8 27 3000001
8 28 3000001
8 29 3000001
8 30 3000001
8 31 3000001
8 32 3000001
8 33 3000001
8 34 3000001
8 35 3000001
8 36 3000001
8 37 3000001
8 38 3000001
8 39 3000001
8 40 3000001
9 1 3000001
9 2 3000001
9 3 3000001
9 4 3000001
9 5 3000001
9 6 3000001
